quarter,period
2024Q3,P1
2024Q4,P2
2025Q1,P3
2025Q2,P4
2025Q3,P5
2025Q4,P6
2026Q1,P7
2026Q2,P8
2026Q3,P9
2026Q4,P10
2027Q1,P11
2027Q2,P12
2027Q3,P13
2027Q4,P14
