"geographyId","currency_ReferenceRate","totalSignedAmount_ReferenceRate","totalCommitmentAmount_ReferenceRate","totalDisbursedAmount_ReferenceRate","code","name"
"5f1b1f25-2479-438c-a84f-8093d3477a36","USD",182189993.63,173380475.73,164881435.25,"BFA-H-SPCNLS",NA
"9fa56c37-6f5d-4f04-a8ef-d41b4b7e1502","USD",1881506.68,1881506.68,1881506.68,"STP-011-G05-H",NA
"19a42508-b05c-4128-a2ed-ff5eea6af30d","USD",54307874.58,54307874.58,54307874.58,"TNZ-405-G06-H",NA
"a1d45f7a-4622-4002-aedc-8bae17df0bc7","USD",79390592.51,79390592.51,79390592.51,"AGO-405-G03-H",NA
"38c052af-358f-4185-b3b6-c0d3ab4ede7d","USD",213773829.99,213773829.99,213773829.99,"NMB-202-G01-H-00",NA
"5407d575-ab23-4db6-ac34-b5eb567da7f0","USD",37027167.38,37027167.38,37027167.38,"ZAM-711-G27-M",NA
"332579ba-bfcb-4322-ba8a-61e37213d7a0","USD",7262648.42,7262648.42,7289789.08,"COM-H-DNLS",NA
"778aa112-0067-4fe9-a0b4-e4bd72ef67de","USD",4385001.04,4385001.04,4385001.04,"NPL-202-G05-H-00",NA
"6e687023-6549-45be-ad92-e64151157471","USD",28853830.98,28853830.98,28853830.98,"GHN-506-G05-T",NA
"6e687023-6549-45be-ad92-e64151157471","USD",8849490.98,8849490.98,8849490.98,"GHA-202-G03-M-00",NA
"147e4a28-28b8-4a6d-91d2-2c17c312dfeb","USD",51005710.64,51005710.64,51005710.64,"ZIM-809-G12-T",NA
"b48fed62-04e6-47df-9247-8d4d478b4f98","USD",42329265.2,42316550.88,42316550.88,"QPA-M-E8S",NA
"16aeb894-1042-4a7a-9757-016e29cbdf8f","USD",4544756.3,4544756.3,4544756.3,"NIC-T-WVI",NA
"a76e4125-b5f5-41c8-8bcc-82d9dc5d1342","USD",56646459.5,56646459.5,56646459.5,"RWA-304-G02-H",NA
"9b694df1-565a-4c5d-ad64-786048414bd9","USD",27513670.5,24582856.19,24582856.19,"PRY-H-CIRD",NA
"01ae2dc3-49f1-48b7-b9fb-2be348d15051","USD",27368898.29,27368898.29,27368898.29,"LSO-202-G01-H-00",NA
"d9728bba-df64-4ff5-9968-f195de080917","USD",14531209.29,14531209.29,14531209.29,"SLE-Z-CRS",NA
"b3174ce7-b534-4296-bade-cea09beeeb04","USD",153571995.35,134046750.53,96603399.31,"MLI-M-CRS",NA
"01ee1f53-5dd8-4797-811f-84989e8d452f","USD",2902961.13,2902961.13,2902961.13,"MUS-H-PILS",NA
"457575cc-1c31-4a91-84bb-ba8022a15007","USD",1799589.88,1799589.88,1799589.88,"CRI-202-G02-H-00",NA
"6a5d3eb0-0d70-4b68-a767-12ce2b302bbd","USD",9854009.79,9854009.79,9854009.79,"PER-809-G07-T",NA
"4ccf2884-f37a-477f-9e3d-fcd8926fb15e","USD",61195231.02,61195231.02,61195231.02,"BRN-809-G07-H",NA
"ed3fb9ed-a462-4743-b6d3-12b20f363974","USD",9017980.78,9017980.78,9017980.78,"CIV-607-G06-M",NA
"63887eb8-fa1d-45d5-8fd3-acbb7c2188c6","USD",126091534.9,125275286.12,119419753.1,"CAF-M-WVI",NA
"8a024a2f-4b31-4382-8c1e-1402ec2bff24","USD",30467238.87,30467238.87,30467238.87,"TGO-405-G04-H",NA
"b64c29b4-0131-4f67-8c06-da720fc20e63","USD",25840605.96,25840605.96,25840605.96,"IRN-810-G04-H",NA
"ba354972-1389-4a5d-a1b6-feb1c167b2e0","USD",14470520.67,14470520.67,14470520.67,"ROM-607-G04-T",NA
"7b433a8d-92ac-4557-beab-13ceee659690","USD",70961680.92,70961680.92,70961680.92,"PHL-210-G11-T",NA
"422a9c0c-7b21-48fa-b37c-61a1ada27bd1","USD",6156897.68,6156897.68,6156897.68,"MOZ-202-G01-H-00",NA
"a15ecee9-30df-48e8-9bd1-a8ea04e779c6","USD",18168375.75,18168375.75,18168375.75,"PNG-809-G05-M",NA
"8fb62e59-521e-4728-9cb0-375a01e2dedb","USD",21446655.09,21446655.09,21446655.09,"MDG-405-G06-M",NA
"d869de58-2087-4633-a77f-5334f16159f2","USD",27938470.62,27938470.62,27938470.62,"AZE-708-G03-T",NA
"1a056eb8-2c2d-4a5a-8263-3c0b24d1b44c","USD",35117741.46,33908680.46,32606168.46,"PAK-H-NACP",NA
"144a8761-d2be-4727-9546-371160bf093f","USD",5358413.14,5358413.14,5358413.14,"TJK-506-G04-M",NA
"a76e4125-b5f5-41c8-8bcc-82d9dc5d1342","USD",42289910,42289910,42289910,"RWA-304-G03-M",NA
"1095c077-a626-4f85-bd3f-42c01deceec8","USD",3125605,3125605,3125605,"AFG-202-G01-I-00",NA
"90fb7820-b2f0-4401-bc77-067270585a9b","USD",11918789.32,11918789.32,11918789.32,"VNM-102-G01-H-00",NA
"97066ca6-87c9-41ac-8e17-859ff7daa514","USD",19628396.71,18206879.79,17197577.87,"LKA-T-MOH",NA
"147e4a28-28b8-4a6d-91d2-2c17c312dfeb","USD",6805785.51,6805785.51,6805785.51,"ZWE-509-G08-T",NA
"d0e17d32-68e3-481a-9ca5-bac4e685c119","USD",32103164.19,32103164.19,32103164.19,"IDN-T-AISYIYA",NA
"abd20e6f-1d8d-4fd0-964e-f429e276d3ac","USD",53310831.94,44630091.41,43638647.16,"CMR-T-MOH",NA
"a37a1d83-5b1b-4b7f-af9f-1808fdffd792","USD",4428625.84,4428625.84,4428625.84,"GIN-506-G03-T",NA
"83e03d72-bb83-49bc-90ae-311877ab74fe","USD",2222555.03,2222555.03,2222555.03,"GYA-810-G06-T",NA
"3c3b504b-ffc2-4d73-a75c-69f197d07256","USD",1722979,1722979,1722979,"BGD-809-G10-T",NA
"9d297717-49cc-4938-9a53-24856950bd74","USD",3404081.36,3404081.36,3404081.36,"COL-011-G05-T",NA
"5f1b1f25-2479-438c-a84f-8093d3477a36","USD",8758929.33,8758929.33,8758929.33,"BFA-202-G02-H-00",NA
"3c3b504b-ffc2-4d73-a75c-69f197d07256","USD",9360993.47,7231794.96,6894114.55,"BGD-H-NASP",NA
"b582c23d-697d-4370-a81b-d3dd72eab7c2","USD",21299313.9,18095575.32,15468957.82,"SWZ-C-CANGO",NA
"38c052af-358f-4185-b3b6-c0d3ab4ede7d","USD",98372898,74180965.86,63044146.1,"NAM-Z-MOH",NA
"eeec578f-3e14-400d-b4f8-bdd80de3cb6d","USD",553816.54,553816.54,553816.54,"PAN-102-G01-T-00",NA
"6e687023-6549-45be-ad92-e64151157471","USD",5685492.55,5685492.55,5685492.55,"GHA-102-G02-T-00",NA
"19a42508-b05c-4128-a2ed-ff5eea6af30d","USD",10680342.81,10680342.81,10680342.81,"TZA-C-STC",NA
"4ccf2884-f37a-477f-9e3d-fcd8926fb15e","USD",109349186,96551986,80377757,"BDI-Z-UNDP",NA
"76f349bd-8ea0-40ad-ba23-a12bc91036f3","USD",5341858.85,5341858.85,5341858.85,"QPB-H-KANCO",NA
"8fb62e59-521e-4728-9cb0-375a01e2dedb","USD",9026705.58,9026705.58,9026705.58,"MDG-810-G13-T",NA
"8a024a2f-4b31-4382-8c1e-1402ec2bff24","USD",13294127.35,13294127.35,13294127.35,"TGO-202-G01-H-00",NA
"5061c5f2-1100-4eed-9cff-83787e240c78","USD",2543781,2543781,2543781,"ETH-Z-UNICEF",NA
"5407d575-ab23-4db6-ac34-b5eb567da7f0","USD",11687211.57,11687211.57,11687211.57,"ZMB-405-G14-M",NA
"3c3b504b-ffc2-4d73-a75c-69f197d07256","USD",20107795.31,20107795.31,20107795.31,"BAN-202-G13-H-00",NA
